Trial,Strategy,PF,WR,Sharpe,Score,Params
65,CAPITULATION,50.98,85.42,0.682,160.164,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.020605033136273626, 'b_upper': 0.9070780434675341, 'b_trigger_l': 0.13900504599970892, 'b_trigger_s': 0.9283473205645544, 'vol_mult': 2.7416144749134066, 'atr_mult': 2.5501618592905393, 'sl_atr': 2.1, 'tp_atr': 1.5, 'max_bars_hold': 28}"
66,CAPITULATION,52.14,90.78,35.564,199.062,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.016775132106100793, 'b_upper': 0.9077602866771396, 'b_trigger_l': 0.11058025361493765, 'b_trigger_s': 0.9106619652266054, 'vol_mult': 2.731507614638496, 'atr_mult': 2.5596305244703323, 'sl_atr': 2.8, 'tp_atr': 0.9, 'max_bars_hold': 29}"
68,CAPITULATION,28.91,84.52,2.794,95.976,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.017929785487560544, 'b_upper': 0.9122509282516139, 'b_trigger_l': 0.11038609687048026, 'b_trigger_s': 0.9140120329444474, 'vol_mult': 2.5709874828036368, 'atr_mult': 2.592305183553118, 'sl_atr': 3.1, 'tp_atr': 0.8, 'max_bars_hold': 13}"
69,CAPITULATION,26.82,77.09,0.526,86.695,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.024202867573864754, 'b_upper': 0.9057898978374196, 'b_trigger_l': 0.0550401864998888, 'b_trigger_s': 0.9323567978189384, 'vol_mult': 2.730677672007128, 'atr_mult': 2.724211355672692, 'sl_atr': 2.2, 'tp_atr': 4.3, 'max_bars_hold': 29}"
71,CAPITULATION,51.44,89.58,0.324,161.602,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.007122628103300751, 'b_upper': 0.9104665147073092, 'b_trigger_l': 0.14104718178754935, 'b_trigger_s': 0.912922184537252, 'vol_mult': 2.9065262995696814, 'atr_mult': 2.5363116028881802, 'sl_atr': 2.1, 'tp_atr': 1.5, 'max_bars_hold': 38}"
72,CAPITULATION,51.12,89.58,0.245,160.563,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.010114886822374675, 'b_upper': 0.9111286480698888, 'b_trigger_l': 0.14065119436544146, 'b_trigger_s': 0.9113661808355372, 'vol_mult': 2.91265078071878, 'atr_mult': 2.5477597231790403, 'sl_atr': 2.1, 'tp_atr': 1.5, 'max_bars_hold': 39}"
73,CAPITULATION,26.72,79.86,0.334,86.48,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.007026042705219817, 'b_upper': 0.912792807619619, 'b_trigger_l': 0.06901164592250078, 'b_trigger_s': 0.9109982182678197, 'vol_mult': 2.7469548477163426, 'atr_mult': 2.542062809109173, 'sl_atr': 2.3, 'tp_atr': 1.9, 'max_bars_hold': 38}"
74,CAPITULATION,3.92,75.59,0.871,18.19,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.023066463658064064, 'b_upper': 0.9035619608301539, 'b_trigger_l': 0.09973088315054748, 'b_trigger_s': 0.9114211945849776, 'vol_mult': 2.486918436299674, 'atr_mult': 2.5492814968068043, 'sl_atr': 2.0, 'tp_atr': 1.5, 'max_bars_hold': 27}"
78,CAPITULATION,2.29,73.1,2.297,14.477,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0527098307626744, 'b_upper': 0.9074864398765937, 'b_trigger_l': 0.15115035382563344, 'b_trigger_s': 0.9161011171947601, 'vol_mult': 2.671177682460453, 'atr_mult': 2.0315813097181223, 'sl_atr': 3.4, 'tp_atr': 1.5, 'max_bars_hold': 39}"
79,CAPITULATION,53.98,81.95,1.722,169.857,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0153159668103011, 'b_upper': 0.9183991337371986, 'b_trigger_l': 0.13993133182606862, 'b_trigger_s': 0.906774926020038, 'vol_mult': 2.7948160176564483, 'atr_mult': 2.2947972226796742, 'sl_atr': 2.9, 'tp_atr': 3.9, 'max_bars_hold': 22}"
