Trial,Strategy,PF,WR,Sharpe,Score,Params
60,CAPITULATION,25.75,67.31,3.662,85.643,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.004262195202699451, 'b_upper': 0.9652608742220068, 'b_trigger_l': 0.13967149217238642, 'b_trigger_s': 0.8828858706305379, 'vol_mult': 2.1664078626324117, 'atr_mult': 2.91788064988534, 'sl_atr': 5.4, 'tp_atr': 4.8, 'max_bars_hold': 85}"
61,CAPITULATION,3.63,65.86,4.786,20.262,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07996639249729437, 'b_upper': 0.986189086074959, 'b_trigger_l': 0.1425220725479698, 'b_trigger_s': 0.9039818118131364, 'vol_mult': 1.8170997916804885, 'atr_mult': 2.915490431587736, 'sl_atr': 3.4, 'tp_atr': 3.2, 'max_bars_hold': 75}"
62,CAPITULATION,3.6,67.47,89.235,104.782,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08926925096984459, 'b_upper': 0.9756366396152212, 'b_trigger_l': 0.12944714909310898, 'b_trigger_s': 0.9196311771513315, 'vol_mult': 2.539725982440728, 'atr_mult': 2.9933588959208213, 'sl_atr': 4.2, 'tp_atr': 2.8, 'max_bars_hold': 70}"
63,CAPITULATION,1.8,62.58,52.254,61.912,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.061690156273113174, 'b_upper': 0.9935086033142907, 'b_trigger_l': 0.11810979927835019, 'b_trigger_s': 0.9490344302990354, 'vol_mult': 2.656361341507179, 'atr_mult': 2.7122526641776643, 'sl_atr': 4.5, 'tp_atr': 3.6, 'max_bars_hold': 91}"
64,CAPITULATION,0.68,59.68,-0.997,5.011,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08222087385730091, 'b_upper': 0.9810210510359445, 'b_trigger_l': 0.1346286960220472, 'b_trigger_s': 0.8725098415032189, 'vol_mult': 2.847502888386511, 'atr_mult': 1.6466943385484543, 'sl_atr': 3.1, 'tp_atr': 2.0, 'max_bars_hold': 81}"
66,CAPITULATION,1.06,53.13,0.71,7.203,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09279319402078225, 'b_upper': 0.9954977646184745, 'b_trigger_l': 0.10651114556812459, 'b_trigger_s': 0.9118067217762282, 'vol_mult': 1.1988173409841805, 'atr_mult': 2.9414584026835593, 'sl_atr': 5.1, 'tp_atr': 2.3, 'max_bars_hold': 27}"
68,CAPITULATION,1.35,56.99,0.968,8.717,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0705854295526587, 'b_upper': 0.9573977244564503, 'b_trigger_l': 0.08294199896595907, 'b_trigger_s': 0.9285754700477534, 'vol_mult': 2.277279804297558, 'atr_mult': 2.907816920843379, 'sl_atr': 4.7, 'tp_atr': 1.9, 'max_bars_hold': 98}"
69,CAPITULATION,29.23,70.66,119.204,211.96,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07827799197412383, 'b_upper': 0.9837919497174056, 'b_trigger_l': 0.15228067822799343, 'b_trigger_s': 0.8871628335994399, 'vol_mult': 2.685263271973937, 'atr_mult': 2.998764111437579, 'sl_atr': 5.3, 'tp_atr': 3.6, 'max_bars_hold': 89}"
70,CAPITULATION,28.21,76.67,1.88,92.177,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.07764318296377132, 'b_upper': 0.9828274107993379, 'b_trigger_l': 0.1722170425358038, 'b_trigger_s': 0.8095356864556631, 'vol_mult': 2.6897917516268737, 'atr_mult': 2.998565953077159, 'sl_atr': 5.5, 'tp_atr': 2.6, 'max_bars_hold': 88}"
71,CAPITULATION,26.04,65.67,0.826,83.513,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08633072044317999, 'b_upper': 0.9875658029535509, 'b_trigger_l': 0.15131997584081822, 'b_trigger_s': 0.8886322728819567, 'vol_mult': 2.90090358722192, 'atr_mult': 2.785267792512796, 'sl_atr': 5.9, 'tp_atr': 3.6, 'max_bars_hold': 83}"
72,CAPITULATION,26.18,68.87,136.746,220.173,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09359074148311873, 'b_upper': 0.9982410638156497, 'b_trigger_l': 0.16556894992998716, 'b_trigger_s': 0.8752181924444219, 'vol_mult': 2.7982596481619204, 'atr_mult': 2.900553586190018, 'sl_atr': 5.3, 'tp_atr': 4.1, 'max_bars_hold': 91}"
73,CAPITULATION,27.3,71.37,136.746,223.783,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09480903878166587, 'b_upper': 0.9972674085525022, 'b_trigger_l': 0.16263247797634378, 'b_trigger_s': 0.8654853258893794, 'vol_mult': 2.8067989067463563, 'atr_mult': 2.9332420810536575, 'sl_atr': 5.3, 'tp_atr': 4.1, 'max_bars_hold': 91}"
74,CAPITULATION,25.89,67.09,139.547,221.926,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09486872575681952, 'b_upper': 0.9960215577371286, 'b_trigger_l': 0.16462627272231561, 'b_trigger_s': 0.8694072858256706, 'vol_mult': 2.8243853181796506, 'atr_mult': 2.913614170957499, 'sl_atr': 5.3, 'tp_atr': 4.2, 'max_bars_hold': 91}"
75,CAPITULATION,26.77,70.39,0.585,85.934,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09487152530637498, 'b_upper': 0.9975453688513612, 'b_trigger_l': 0.1583252247816463, 'b_trigger_s': 0.8665117563249963, 'vol_mult': 2.9473966622497505, 'atr_mult': 2.7445309891491694, 'sl_atr': 5.0, 'tp_atr': 4.1, 'max_bars_hold': 90}"
77,CAPITULATION,27.3,71.37,3.251,90.288,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09538175229029408, 'b_upper': 0.999315469309333, 'b_trigger_l': 0.16595739561819312, 'b_trigger_s': 0.874631651130889, 'vol_mult': 2.8228406492387106, 'atr_mult': 2.928432707824132, 'sl_atr': 5.3, 'tp_atr': 5.2, 'max_bars_hold': 92}"
78,CAPITULATION,26.37,69.22,-0.03,84.002,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09227949460474123, 'b_upper': 0.9948946959650962, 'b_trigger_l': 0.1694365891172215, 'b_trigger_s': 0.8696073041506597, 'vol_mult': 2.987065274614388, 'atr_mult': 2.6797749867449276, 'sl_atr': 5.1, 'tp_atr': 4.2, 'max_bars_hold': 80}"
79,CAPITULATION,0.91,39.94,2.783,7.507,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.0848608619270723, 'b_upper': 0.9690606438559237, 'b_trigger_l': 0.16207076177793348, 'b_trigger_s': 0.876998252836893, 'vol_mult': 2.740634076531724, 'atr_mult': 2.3167363351214676, 'sl_atr': 5.5, 'tp_atr': 5.9, 'max_bars_hold': 99}"
81,CAPITULATION,8.9,64.41,117.605,148.746,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09965631661914257, 'b_upper': 0.9951622944271509, 'b_trigger_l': 0.1548898745565995, 'b_trigger_s': 0.8539119939789601, 'vol_mult': 2.8279743861596534, 'atr_mult': 2.9308342486654793, 'sl_atr': 5.3, 'tp_atr': 3.6, 'max_bars_hold': 94}"
82,CAPITULATION,26.11,69.7,150.234,233.534,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09996228305952282, 'b_upper': 0.9957293250626825, 'b_trigger_l': 0.17377412180149068, 'b_trigger_s': 0.8474866330150487, 'vol_mult': 2.8316750831440296, 'atr_mult': 2.79889310497373, 'sl_atr': 5.3, 'tp_atr': 4.5, 'max_bars_hold': 89}"
83,CAPITULATION,2.11,66.21,3.626,14.577,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09381144499164748, 'b_upper': 0.9995129586982292, 'b_trigger_l': 0.17169677518366816, 'b_trigger_s': 0.8471389142208474, 'vol_mult': 1.9832479954428903, 'atr_mult': 2.78294843969303, 'sl_atr': 5.2, 'tp_atr': 4.8, 'max_bars_hold': 88}"
84,CAPITULATION,26.12,67.8,0.431,83.571,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09645615984874531, 'b_upper': 0.9546393090226728, 'b_trigger_l': 0.18396797010862279, 'b_trigger_s': 0.8611513525666098, 'vol_mult': 2.9212991511262683, 'atr_mult': 2.8048140631185405, 'sl_atr': 4.9, 'tp_atr': 4.6, 'max_bars_hold': 86}"
85,CAPITULATION,26.6,70.19,136.996,221.815,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08988176528650293, 'b_upper': 0.9963491357328463, 'b_trigger_l': 0.14479208054820167, 'b_trigger_s': 0.8872748024272228, 'vol_mult': 2.7329626781802774, 'atr_mult': 2.903997021310274, 'sl_atr': 5.6, 'tp_atr': 4.1, 'max_bars_hold': 91}"
87,CAPITULATION,0.86,49.69,1.982,7.531,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08803689715067747, 'b_upper': 0.9961419304243841, 'b_trigger_l': 0.17612472453472064, 'b_trigger_s': 0.8839430835405049, 'vol_mult': 1.3736738917885725, 'atr_mult': 1.906856212490976, 'sl_atr': 5.0, 'tp_atr': 5.4, 'max_bars_hold': 93}"
88,CAPITULATION,2.31,59.02,120.829,131.661,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08185255408394382, 'b_upper': 0.9929476688664038, 'b_trigger_l': 0.1453533586007834, 'b_trigger_s': 0.8913008746138927, 'vol_mult': 2.725645346121892, 'atr_mult': 2.58137735666669, 'sl_atr': 5.4, 'tp_atr': 3.7, 'max_bars_hold': 90}"
89,CAPITULATION,8.35,54.09,143.468,171.927,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09124343513953563, 'b_upper': 0.9850246187691223, 'b_trigger_l': 0.16352424672814017, 'b_trigger_s': 0.8974858384434586, 'vol_mult': 2.8124902629771493, 'atr_mult': 2.8968787128959526, 'sl_atr': 5.2, 'tp_atr': 4.3, 'max_bars_hold': 97}"
90,CAPITULATION,3.0,64.28,0.851,14.279,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.08702005524789215, 'b_upper': 0.9972243980349499, 'b_trigger_l': 0.14181515805270378, 'b_trigger_s': 0.884621926818913, 'vol_mult': 2.9027051453646613, 'atr_mult': 2.7791002533601037, 'sl_atr': 4.8, 'tp_atr': 4.9, 'max_bars_hold': 75}"
91,CAPITULATION,57.4,54.09,143.513,319.122,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09231928645001675, 'b_upper': 0.9837647696695537, 'b_trigger_l': 0.16490501803823243, 'b_trigger_s': 0.8984701362740438, 'vol_mult': 2.8065504761368385, 'atr_mult': 2.888166160505257, 'sl_atr': 5.2, 'tp_atr': 4.3, 'max_bars_hold': 96}"
92,CAPITULATION,26.07,68.27,135.876,218.913,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09967065919819929, 'b_upper': 0.9869883040733213, 'b_trigger_l': 0.1590784911220799, 'b_trigger_s': 0.8757775560251464, 'vol_mult': 2.775363961586572, 'atr_mult': 2.940818839388881, 'sl_atr': 5.4, 'tp_atr': 4.1, 'max_bars_hold': 92}"
93,CAPITULATION,12.05,57.76,138.297,178.223,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09851138530528668, 'b_upper': 0.9937378893471086, 'b_trigger_l': 0.1683234993161884, 'b_trigger_s': 0.8936559670817119, 'vol_mult': 2.705500775482924, 'atr_mult': 2.9396197706769227, 'sl_atr': 2.2, 'tp_atr': 4.1, 'max_bars_hold': 100}"
94,CAPITULATION,26.15,69.36,150.575,233.961,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09244032817968165, 'b_upper': 0.9776242789611944, 'b_trigger_l': 0.1605951853554636, 'b_trigger_s': 0.8676610295346542, 'vol_mult': 2.586557119071882, 'atr_mult': 2.9505397367019093, 'sl_atr': 5.6, 'tp_atr': 4.5, 'max_bars_hold': 92}"
95,CAPITULATION,1.78,61.51,150.688,160.179,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09432122946391253, 'b_upper': 0.9760886391157853, 'b_trigger_l': 0.16086606654807592, 'b_trigger_s': 0.867513288320744, 'vol_mult': 2.612689751176423, 'atr_mult': 2.8167402517193936, 'sl_atr': 5.6, 'tp_atr': 4.5, 'max_bars_hold': 92}"
96,CAPITULATION,9.79,59.28,1.961,35.259,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09072382873893517, 'b_upper': 0.9851732287452231, 'b_trigger_l': 0.15585968856041438, 'b_trigger_s': 0.8597441664167357, 'vol_mult': 2.7618060074559576, 'atr_mult': 2.699339517788229, 'sl_atr': 5.4, 'tp_atr': 4.6, 'max_bars_hold': 95}"
98,CAPITULATION,9.77,61.13,139.973,173.396,"{'strategy_type': 'CAPITULATION', 'b_lower': 0.09961991482741164, 'b_upper': 0.9309784395794976, 'b_trigger_l': 0.1743601113325945, 'b_trigger_s': 0.8700951574091178, 'vol_mult': 2.572917195689894, 'atr_mult': 2.874934957116343, 'sl_atr': 5.6, 'tp_atr': 4.2, 'max_bars_hold': 98}"
